score,rec1_source,rec1_doi,rec1_title,rec2_source,rec2_doi,rec2_title,ncs_decision
89.0,scopus,10.1109/GridEdge61154.2025.10887416,Cyber Security of a Smart Power Distribution System - Cyber Subsystem Use Case,scopus,10.1109/GridEdge61154.2025.10887477,Cyber Security Use Case on a Smart Power Distribution System - Physical Subsystem,
87.9,scopus,10.1186/s13677-023-00487-7,The product quality inspection scheme based on software-defined edge intelligent controller in industrial internet of things,scopus,10.1109/SmartIoT55134.2022.00019,The Scheme and System Architecture of Product Quality Inspection based on Software-Defined Edge Intelligent Controller (SD-EIC) in Industrial Internet of Things,
86.6,scopus,10.3390/fi15040139,Towards a Reference Architecture for Cargo Ports,scopus,10.1016/j.iotcps.2022.07.001,A security reference architecture for cargo ports,
87.4,scopus,10.1007/978-3-031-16075-2_16,"Enabling Maritime Digitalization by Extreme-Scale Analytics, AI and Digital Twins: The Vesselai Architecture",scopus,10.3389/fdata.2023.1220348,"Leveraging extreme scale analytics, AI and digital twins for maritime digitalization: the VesselAI architecture",
88.5,scopus,10.1145/3384441.3395978,Precise Virtual Time Advancement for Network Emulation,scopus,10.1145/3478867,Mechanisms for Precise Virtual Time Advancement in Network Emulation,
89.6,scopus,10.1115/DETC2022-89833,DIGITAL TWIN MODELING METHOD FOR CONTAINER TERMINAL IN PORT,scopus,10.1016/j.procs.2024.09.361,Towards a Digital Twin Modeling Method for Container Terminal Port,
86.0,ieee,10.1109/IEEESTD.2018.8467507,IEEE Standard for Local and metropolitan area networks--Bridges and Bridged Networks--Amendment 30: YANG Data Model,ieee,10.1109/IEEESTD.2020.9212765,IEEE Standard for Local and Metropolitan Area Networks--Bridges and Bridged Networks Amendment 33: YANG Data Model for Connectivity Fault Management,
86.9,scopus,10.3390/math10234575,Multi-AGV Dynamic Scheduling in an Automated Container Terminal: A Deep Reinforcement Learning Approach,scopus,10.1109/CAC63892.2024.10865584,A Multi-agent Deep Reinforcement Learning Approach for Multiple AGVs Scheduling in Automated Container Terminals,
89.2,scopus,10.1016/j.oceaneng.2023.116067,Spatial state analysis of ship during berthing and unberthing process based on 3D LiDAR,scopus,10.1016/j.measurement.2024.116497,Spatial state analysis of ship during berthing and unberthing process based on multi-ship data from 3D LiDAR,
89.6,gs,,Digital twin modeling method for container terminal in port,scopus,10.1016/j.procs.2024.09.361,Towards a Digital Twin Modeling Method for Container Terminal Port,
89.6,gs,,Digital twin modeling method for container terminal in port,scopus,10.1016/j.procs.2024.09.361,Towards a Digital Twin Modeling Method for Container Terminal Port,
89.6,gs,,Digital twin modeling method for container terminal in port,scopus,10.1016/j.procs.2024.09.361,Towards a Digital Twin Modeling Method for Container Terminal Port,
88.6,gs,,Optimizing Digital Twin Supply Chains Leveraging Genetic Algorithms Markov,gs,,Optimizing Digital Twin Supply Chains Leveraging Genetic Algorithms Markov Decision Processes,
89.6,gs,,Digital twin modeling method for container terminal in port,scopus,10.1016/j.procs.2024.09.361,Towards a Digital Twin Modeling Method for Container Terminal Port,
85.7,gs,,Application of GIS in the Maritime-Port Interface: A Systemic Review,scopus,10.3390/su17083386,Application of GIS in the Maritime-Port Sector: A Systematic Review,
87.2,gs,,Dynamic Mode Decomposition-Based Approach for Digital Twin Development in Ship,gs,10.1007/978-3-032-02102-1_5,Dynamic Mode Decomposition-Based Approach for Digital Twin Development in Ship Performance Prediction,
85.8,ieee,,IEEE Draft Standard for Local and Metropolitan Area Networks - Bridges and Bridged Networks Amendment: YANG Data Model,ieee,10.1109/IEEESTD.2020.9212765,IEEE Standard for Local and Metropolitan Area Networks--Bridges and Bridged Networks Amendment 33: YANG Data Model for Connectivity Fault Management,
85.8,ieee,,IEEE Draft Standard for Local and Metropolitan Area Networks - Bridges and Bridged Networks Amendment: YANG Data Model,ieee,10.1109/IEEESTD.2020.9212765,IEEE Standard for Local and Metropolitan Area Networks--Bridges and Bridged Networks Amendment 33: YANG Data Model for Connectivity Fault Management,
85.8,ieee,,IEEE Draft Standard for Local and Metropolitan Area Networks - Bridges and Bridged Networks Amendment: YANG Data Model,ieee,10.1109/IEEESTD.2020.9212765,IEEE Standard for Local and Metropolitan Area Networks--Bridges and Bridged Networks Amendment 33: YANG Data Model for Connectivity Fault Management,
